Order_ID,Date,Type,Customer,Customer_ID,Customer_DOB,Customer_Membership_Status,Products,Quantities,Prices,Discount_Code
1269,08/07/2025,Deliveroo,Se Ra Raab,461,19/04/2003,Non-Member,"c(""Macchiato"", ""Large Size"")","c(1, 1)","c(3.8, 0.5)",NA
3335,01/07/2025,Dine In,Carie Gomez-Rojas,239,09/05/1982,Non-Member,"c(""Macchiato"")",c(1),c(3.8),NA
3068,21/08/2025,Deliveroo,James Wolfe,440,09/08/1980,Non-Member,"c(""Frappuccino"", ""Extra Shot"")","c(1, 1)","c(4.5, 0.6)",NA
3428,04/05/2025,Deliveroo,Joseph Jackson,220,28/06/1993,Member,"c(""Iced Latte"", ""Almond Milk"")","c(2, 1)","c(3.75, 0.5)",OFF5
1537,06/08/2025,Dine In,Samantha Prim,497,03/09/1994,Non-Member,"c(""Cold Brew"", ""Bagel"", ""Brownie"")","c(2, 1, 1)","c(3.25, 2.5, 2.5)",OFF5
1014,07/08/2025,Dine In,Sean Headrick,148,02/10/1982,Non-Member,"c(""Hot Chocolate"", ""Almond Milk"")","c(1, 1)","c(3.25, 0.5)",NA
1513,31/07/2025,Deliveroo,Tyshae Portillo,59,01/04/1996,Non-Member,"c(""Macchiato"", ""Brownie"", ""Croissant"")","c(1, 1, 2)","c(3.8, 2.5, 2.75)",NA
2182,11/07/2025,Dine In,Paul Shrestha,293,04/03/1987,Non-Member,"c(""Cold Brew"")",c(1),c(3.25),OFF5
650,28/07/2025,Dine In,Sarah Li-Aponte,317,21/09/1992,Non-Member,"c(""Macchiato"", ""Panini"")","c(1, 1)","c(3.8, 6)",NA
313,16/05/2025,Dine In,Maya Xanoubane,481,28/09/1977,Member,"c(""Chai Latte"", ""Extra Foam"")","c(1, 1)","c(3.5, 0)",NA
1242,27/07/2025,Dine In,Jade Combs,594,07/07/1983,Non-Member,"c(""Iced Latte"", ""Salad"")","c(1, 2)","c(3.75, 7.5)",OFF5
3353,15/07/2025,Deliveroo,Cameron Mcclure,204,22/08/1993,Non-Member,"c(""Cappuccino"")",c(1),c(3.25),NA
4000,16/06/2025,Dine In,Brandon Moua,241,11/10/1977,Member,"c(""Flat White"", ""Brownie"")","c(1, 1)","c(3.75, 2.5)",NA
1222,28/08/2025,Deliveroo,Marian Owens,98,12/09/1989,Non-Member,"c(""Cold Brew"", ""Salad"")","c(1, 1)","c(3.25, 7.5)",NA
303,29/07/2025,Deliveroo,Jeffrey Bui,277,03/01/1997,Member,"c(""Americano"")",c(2),c(3),NA
2623,20/06/2025,Dine In,Torin Marker,292,01/12/1993,Member,"c(""Tea"")",c(1),c(2.25),OFF5
979,19/05/2025,Dine In,Raymond Gonzales,155,14/07/1983,Member,"c(""Latte"", ""Almond Milk"")","c(1, 1)","c(3.5, 0.5)",NA
1247,13/07/2025,Deliveroo,Sarah Frank,415,12/10/1979,Non-Member,"c(""Hot Chocolate"", ""Oat Milk"")","c(2, 1)","c(3.25, 0.6)",NA
2286,24/08/2025,Dine In,Nick Moreno,55,18/06/1982,Member,"c(""Tea"", ""Almond Milk"")","c(2, 1)","c(2.25, 0.5)",NA
1504,23/07/2025,Dine In,Ethan Zheng,9,05/04/1995,Non-Member,"c(""Latte"")",c(1),c(3.5),OFF5
616,03/06/2025,Dine In,Audra Durfey,484,27/11/1997,Non-Member,"c(""Cappuccino"")",c(1),c(3.25),OFF5
2187,12/08/2025,Deliveroo,Meaghan Rivera,205,31/03/1980,Non-Member,"c(""Frappuccino"", ""Brownie"", ""Brownie"")","c(1, 1, 1)","c(4.5, 2.5, 2.5)",NA
759,24/05/2025,Deliveroo,Michael Hersom,156,15/05/1992,Non-Member,"c(""Americano"")",c(1),c(3),NA
732,01/06/2025,Deliveroo,Eduardo Gonzales,319,28/02/1985,Non-Member,"c(""Americano"", ""Oat Milk"")","c(2, 1)","c(3, 0.6)",OFF5
813,12/06/2025,Deliveroo,Janiva Robinson,238,12/06/1979,Non-Member,"c(""Chai Latte"", ""Decaf"")","c(1, 1)","c(3.5, 0)",NA
67,13/08/2025,Dine In,Geoffrey Leafgreen,392,28/07/1994,Non-Member,"c(""Espresso"", ""Croissant"", ""Brownie"")","c(2, 1, 1)","c(2.5, 2.75, 2.5)",NA
